Author,Comment,Published At,Likes
@themooseontheloose,"Go to <a href=""https://ground.news/moose"">https://ground.news/moose</a> to see beyond biased media reporting and uncover what the mainstream media doesn’t want you to know. Sign up through my link for 40% off unlimited access to their Vantage Plan!",2024-10-17T06:28:54Z,103
@pradip4581,Treaudu is a disgrace to canada.....,2024-11-20T22:11:19Z,0
@Arpit.Vajpayee,Brother... We love is just that I cannot believe myself that this is the Canada or stand up communities used to talk about for being the most peaceful and hassle-free country in the whole world now in India unfortunately absolutely correctly hated.,2024-11-18T15:46:51Z,1
@imtweetydiva29,"Kevin O&#39;Leary said in an interview, &quot;Trudeau, what have you done to make all these countries mad at us?!&quot;",2024-11-17T14:13:37Z,0
@AmbSanma,Trudeau on hot soup,2024-11-16T16:55:03Z,0
@tracycameron5099,There comes a time when irs not funny anymore,2024-11-16T11:53:08Z,0
@ChandanKumar-ed9hb,I m from India.. Your country is f****up because of K.,2024-11-16T07:48:44Z,0
@jitesh7044,Bro he is not justin Trudeau anymore. <br>He is DUSTBIN TRUDEAU,2024-11-15T00:30:11Z,0
@LuckyRawat-l9i,Rip freedom in canada,2024-11-13T04:58:29Z,0
@Abhilash_Jena,"WTH!!! That&#39;s a complete disrespect towards the Canadian national Anthem. A country&#39;s national anthem is a symbol of national identity and pride. I&#39;m an Indian and don&#39;t want my national anthem to be disrespected like that. You go to a country, you assimilate with the people, their culture and language and try to introduce yours to them so they also know about your wonderful culture too.",2024-11-12T12:14:30Z,1
@nikitanehete9034,hey you missed making video on aus today ban in canada news,2024-11-10T09:40:04Z,0
@shivamsharma-zi9sh,"<a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=434"">7:14</a> look his eyes he smokes things which comes out of Trudeau&#39;s ass...",2024-11-10T06:15:34Z,0
@BLUERAY1611,Kalistani are American deep state and Pakistani ISI creations.,2024-11-10T01:31:58Z,1
@RobbiePal,“Just In Thought Door” is an absolute nut case. 😂,2024-11-09T17:26:52Z,0
@AryanDwivedi-d1f,"Yes It is true, khalistan is only exist in Canada. 😅😅",2024-11-09T12:49:28Z,1
@We-are-lost,The Canadian prime minister protecting Canadian terrorist😂,2024-11-09T05:06:22Z,0
@IzodLacoste,"Trudeau makes a fool of himself, the Indians just report it.",2024-11-09T04:15:20Z,0
@604alle7,Bruh 😂🔥,2024-11-09T04:07:01Z,0
@ameyaganchha,"xx<a href=""https://www.youtube.com/@themooseontheloose"">https://www.youtube.com/@themooseontheloose</a> why did you pick the biggest idiot in the field ? Im not even in the Fin . EC field but this guy is a completer loon",2024-11-09T00:06:19Z,0
@selvatheesonnamasivayam988,This ayra mp is a double speak subhuman.,2024-11-08T10:19:30Z,0
@userxyz783,You guys have to protect your culture from incrusion. I am sorry that constituents from Punjab region disrespected the national anthem that way. Please do understand punjabi chauvinism has claimed hundreds of thousands of lives in the Indian subcontinent especially in Pakistan. It is a chimera that evolves regardless of religion or place of residence of those that espouse it. Please do guard against the threat.,2024-11-08T06:16:57Z,0
@jkn8932,"Smart people electing moron leader is very common phenomenon! Don’t worry, smart people are good at fixing their own mistakes. They gonna replace this buffoon with someone who is worthy of leading Canada 🇨🇦!",2024-11-08T06:05:27Z,0
@codedusting,"Narendra Modi, the so called dictator, allowed farmers protest for over a year and then heard them and bowed to them.",2024-11-08T04:15:42Z,1
@antojose6902,As a Indian I support White people needs to control brown population i am a dark brown person I don&#39;t whant kalistanis ruling white population this is a serious issue kalistani terrorists issue in north America  now,2024-11-07T20:45:22Z,1
@ramdharisinghdinkar1069,Trudeau should not have messed with Indian media. They know English very well and can fuck Trudeau in his own language.,2024-11-07T18:49:22Z,1
@SMishra-oe9dw,"There&#39;s nothing left to destroy in this guy he has destroyed his own political career himself. He is neither a great politician nor a good liar. Can&#39;t do his work properly, can&#39;t even criticize others properly No one knows what can he do properly. This guy is done for, now he should pack his bags and go back to hus village and do farming and I&#39;m sure, that he won&#39;t even be be able to do tgat properly too. What a guy he is. I think that the MPs who had selected him were high on water( because alcohol can&#39;t cause a mistake this big, the toxication can only be caused by drinking the most neutral substance on earth)",2024-11-07T16:01:06Z,1
@monty999000,Most Canadian don&#39;t even know the truth because mainstream media is sold out. Shame on Canadian media. Grow a pair and bring truth out. Pathetic,2024-11-07T15:33:50Z,0
@Truthndlies,"We are no 3rd world contry, your canadian people may need to correct it. But yes i agree in our contry it is common drive on wrong side. I would advocate Canda should take strict action cancel there deiving license impose fine and they will start following the rules.",2024-11-07T13:29:20Z,0
@cowubl,TRUDEAU &amp; JAGGMEET SING ARE IN BROMANCE.,2024-11-07T10:55:11Z,0
@OGPoetsRain,Gramps ain&#39;t playing 😂,2024-11-07T10:37:42Z,0
@davehastin3683,That guy&#39;s Indian accent sounds more Indian than me... And I live in India and rarely speak English 😅,2024-11-07T07:33:34Z,0
@rpllathigara7837,"Khalistanis using Canada for their own motive, Gov has to understand and act<br><br>I was known Canada as Safe heaven which is no more",2024-11-07T06:39:06Z,0
@Arya-cs7kj,Thank God you didn&#39;t go over to  Hindi News Channels b&#39;coz they smoke something else altogether.😂😂,2024-11-07T06:23:51Z,0
@nikhilharidas87,I am Indian and am thankful to Canada...after we kicked out Khalistanis...they didn&#39;t comeback because Canada gave them a home...we dont have to deal with Khalistanis in India thanks to Canada.,2024-11-07T01:35:12Z,0
@kavithavrao,I used to live in Canada. I feel bad that India and Canada are fighting. Many of my friends live there and I truly care for them.,2024-11-06T13:38:44Z,0
@ramjinda,indian media is controlled by indian government.any person criticize the government thrown in jail without hearing. they are the mouthpiece  of indian government,2024-11-06T13:09:27Z,0
@damon993,"his plane was being searched for drugs, thats the real story for plane delay",2024-11-06T09:07:19Z,0
@user-TheBlackDevil,Arya chandra a shoe licker of trudo...hahaha 😂😂😂😂,2024-11-06T06:49:55Z,0
@user-TheBlackDevil,I don&#39;t know if the guy sitting with headphones remember a raid on the outskirts of Calgary where Rcmp found largest bust of drugs which was definitely run by Khalistani and lot of truckers khalistani involved in drug smuggling ..,2024-11-06T06:47:23Z,0
@Smitbharata,Dude CANADA is not canada anymore.. Sorry to say but KHALISTAN replaced CANADA. Thats what I can see from my View. These Khalistanis destroyed your culture completely. Its a Shame to see a beautiful country destroyed by these Empty sthanis...,2024-11-05T22:13:38Z,0
@midnight3682,Canada is at its worst….,2024-11-05T17:27:20Z,0
